Country,BestSeconds,Person
Hong Kong,China,4.60
Hungary,5.13,Gábor Slezák
Iceland,6.29,Óskar Pétursson
India,4.74,Hrishikesh Kakati
Indonesia,4.42,Firstian Fushada
Iran,5.87,Erfan Dehghani
Iraq,11.31,Furat Gaznai
Ireland,4.33,Ciarán Beahan
Israel,4.52,Ben Baron
Italy,4.26,Valerio Locatelli
Jamaica,17.33,Andre Robinson
Japan,4.80,Sei Sugama
Jordan,5.85,Kamel Hammouri
Kazakhstan,4.24,Asset Agabekov
Kenya,8.05,Jay Kuria Muthari
Kosovo,5.21,Lir Ukaj
Kuwait,6.38,Ahmad Alolaimi
Kyrgyzstan,4.92,Chyngyz Sultanbekov
Laos,9.07,Phasouk Sypaseuth
Latvia,6.04,Roberts Dreijers
Lebanon,6.31,Rakan El Hady
Lesotho,14.70,Liteboho Martin Mobe
Libya,11.90,Ali Shaari
Liechtenstein,10.42,Jannik Gartmann
Lithuania,4.39,Mantas Urbanavius
Luxembourg,8.90,Carlo Glod
Macau,China,6.26
Madagascar,7.26,Tolotra Ny Avo Andriamamonjisoa
Malawi,9.87,Favour Ngulube
Malaysia,4.05,Tee Kai Yang
Maldives,16.77,Liam Ishan
Malta,8.59,Bianca Spiteri
Mauritania,19.79,Cheikh Baya
Mauritius,7.96,Ryan Pin Harry
Mexico,4.46,Angel Armando Jaime Sánchez
Moldova,6.84,Alex Casian
Monaco,49.50,Pauline Faggio
Mongolia,4.84,Myagmardorj Ulziijargal
Montenegro,10.05,Mihailo Seni
Morocco,6.43,Mohamed Elkhatri
Mozambique,9.35,Edilson Ruco
Myanmar,6.03,Sai Nyi Bhone Htut
Namibia,13.69,Luke Agapitus
Nepal,6.66,Anubhav Gyawali
Netherlands,4.38,Twan Dullemond
New Zealand,4.54,Dwyane Ramos
Nicaragua,11.08,Roberto Icaza Kinloch
Nigeria,7.17,David Okoro-Sokoh
North Macedonia,6.48,Aleksandar Dukleski
Norway,4.15,Kim Roger Haraldsen
Oman,7.97,Mohammed Al Said
Pakistan,5.43,Muhammad Haris Aamir
Palestine,6.40,Adam Tiro
Panama,5.98,David Montenegro
Papua New Guinea,9.81,Joshua Tekwie
Paraguay,5.37,Kenji Julián Cáceres Matsumoto
Peru,4.65,Robert Yomi Cadenas Nuñez
Philippines,3.84,Brenton Angelo Lo Wong
Poland,3.66,Tymon Kolasiński
Portugal,5.51,Afonso Cláudio Machado
Qatar,20.09,Karim Awa
South Korea,4.17,Seung Hyuk Nahm
Romania,4.07,Ianis Costin Chele
Russia,3.72,Timofei Tarasenko
Rwanda,12.32,Imanzi Habonimana
Saint Kitts and Nevis,12.30,Lucas Jacobs
Saint Lucia,15.88,Shervy Evans
Samoa,27.05,Oliver Tafunai
San Marino,23.22,Leonardo Selva
Saudi Arabia,7.73,Hussain Alasiri
Senegal,27.11,Amy-Collé Diallo
Serbia,5.57,Matej Marok
Singapore,4.85,Deng Zhengping
Slovakia,5.11,Adam Frátrik
Slovenia,4.95,Taiyo Beri
Somalia,56.70,Mubarak Ali Jama
South Africa,4.86,Daniel Rush
Spain,4.67,Lorenzo Escobar Kraskouskaya
Sri Lanka,6.79,Sujan Irosha Kumarapperuma
Sudan,12.34,Mohamed Kamal Siddig Mohamed
Suriname,9.49,Carmen Liu
Sweden,4.58,Elvin Thorsen
Switzerland,4.56,Eden Robinson-Rechavi
Syria,6.88,Ali Ahmad Alchurbaji
Tajikistan,7.71,Jaloliddin Rasulov
Tanzania,15.46,Mohammed Mehdi Hussein Murtaza Mohamedali
Thailand,4.02,Natthaphat Mahtani
Togo,9.03,Christian Lacle
Tonga,18.83,Lokani Fosita
Trinidad and Tobago,8.72,Zeke Sirju
Tunisia,7.29,Moez Boussarsar
Turkey,4.79,Ahmet Çınar Ablak
Turkmenistan,9.03,Samat Sahetmyradov
Uganda,10.82,Shaun Adriel Agaba
Ukraine,4.77,Lev Golub
United Arab Emirates,7.64,Nasir Ali Mohammed Dawood Abdalla
United Kingdom,3.69,Aidan Grainger
United States,3.13,Max Park
Uruguay,6.00,Irene Pinto
Uzbekistan,5.72,Umidjon Zafarov
Venezuela,5.84,Louis Rodriguez
Vietnam,4.53,Nguyen Tuan Cong
Yemen,11.11,Mohammed Badr Albaram
Zambia,17.12,Temba Mateke
Zimbabwe,7.63,Juniour Kwashira
